1,abaka.jpg,Abaca,Abaka,Abaca is a natural leaf fiber that comes from a relative of the banana tree family native to the Philippines that grows throughout tropical regions.,13-22 feet,2.5 meters by 2.5 meters or 1.5 meters by 1.5 meters,Do not plant abaca on water-logged areas where the soil is wet.,"5,2,3"
2,apples.avif,Apples,none,"The apple is one of the pome (fleshy) fruits. Apples at harvest vary widely in size, shape, colour, and acidity, but most are fairly round and some shade of red or yellow. The thousands of varieties fall into three broad classes: cider, cooking, and dessert varieties.","That depth should be so that the first lateral roots are 1.5 to 2 inches. Often (varies according to nursery budding height), ","Generally, apple trees should be planted between 10 to 25 feet apart. ","one apple (weighing 150g) takes 125 litres of water to produce. Taking it a step further to apple juice, and one 200ml glass requires around 230 litres of water. It takes 168 litres of water to produce one pint of beer.",3
3,marang.jpg,Marang,Marang,"Marang is a big tree grows up to 35 m tall. Its leaves are large, elliptic to obovate, measuring 15-50 cm long and 10-30 cm wide. The leaves are covered with rough hairs on both surfaces. This tree is monoecious, with its male and female flower heads are borne on the same plant.",Tree growing to 25 m (82ft) by 20 m (65ft) at a medium rate.,Plants are spaced 12-14 m apart.,Regular weeding and irrigation during the first 2 or 3 dry seasons ensures good growth.,"5,2"
4,asparagus.webp,Asparagus,Esparago o Asparago,"Asparagus is an herbaceous, perennial plant growing to 100–150 centimetres (3–5 feet) tall, with stout stems with much-branched, feathery foliage.",8 inches deep, green varieties 8–14 apart in-row and purple varieties 6–8 apart in-row,at least one inch of water every week.,5
5,basil.webp,Basil,none,"Basil is an annual herbaceous plant in the mint family Lamiaceae. It has square stems with leaves that grow on opposite sides, and the leaves are rounded, slightly cupped, and curve to form at point at the tip. The leaves are generally light green, although some varieties have reddish or purplish leaves.","Plant seeds 14 deep, 2-3 seeds per inch, in rows 18 apart. ","Rows 24 to 36 inches apart, with plants spaced every 6 inches in each row, are recommended Basil can also be planted in a bed of 3 rows 12 inches apart with 12 inches between rows. ",Basil likes to stay moist and requires approximately 1 inch of water every week.,3
6,beach_pea.jpg,Beach pea,none,"Beach pea is a low, prostrate plant with stems reaching 30–60 cm (1–2 feet) long and can spread vegetatively by rhizomes. The waxy alternate leaves are divided into 6 to 12 leaflets arranged along the leafstalk and feature a pair of leafy stipules (appendages) at the base.",at least 15 cm deep.,row-to-row distance of 30-45 cm and plant-to-plant distance of 5-10 cm. ,"Soak the soil when watering, to a depth of at least one inch each week during the growing season.",5
7,beans.jpg,Beans,Butong Gulay,"The common bean is an annual herbaceous plant that features compound leaves with three leaflets. Most varieties grow either as an erect bush or as a climbing plant. When the climbing type is grown for its immature pods, such as for green beans, artificial supports are necessary to facilitate harvesting.",1 inch deep,2-3 inches apart,Reduce watering to once every three days after the first week.,5
8,beets.jpg,Beets,Remolatsa,"Beets are herbaceous biennial root vegetables in the family Chenopodiaceae grown for their edible root and young leaves. The plant is usually erect with a long main root and a rosette of leaves growing on stems. The leaves are oval in shape, arranged alternately on the stem and grow 20–40 cm (7.9–15.7 in) in length.",½-inch deep,2 inches apart in all directions,about an inch of water per week. ,5
9,ampalaya.webp,Bitter Gourd,Ampalaya,"Ampalaya is one of the healthiest vegetables in the worlds. Don’t judge it by its rough appearance or its bitter taste. Although notable for its bitter taste, ampalaya works wonders for being who have diabetes. Aside from being stir-fried or saute, it is also common in natural and organic tea.","Sow seeds in holes about half-inch deep (1.25 cm) and spaced 12 inches (30 cm) apart. Sow two seeds in each hole. Seeds germinate in 8 to 10 days, though low and high temperatures and soil too dry or too wet can slow germination.",Bitter melon plants are vigorous and need at least 12-18 inches (30-45cm) of spacing to grow. ,"Water when the top 5cm of soil feels like a dry summer day—dry to the touch. Use the morning or late afternoon to give your plants a drink, avoiding the foliage like it's got a restraining order against water.","5,3"
10,blueberry.webp,Blueberries,none,"Blueberries are small round berries about 0.2 to 0.6 inches across. Their color can range from blue to purple. They are often eaten fresh but can also be enjoyed frozen, added to a wide variety of baked goods, or juiced or pureed.",Dig holes about 20 inches deep and 18 inches wide (or about twice as wide and twice as deep as the roots of the plant).,"You can plant blueberry bushes as close as 2 or 2.5 feet apart to form solid hedgerows, or space them up to 6 feet apart so they grow individually. ",This usually means watering two to three times a week for blueberries planted in the landscape or raised beds and daily if it's in a container.,"2, 5"
